company_name,phone_number,email,website,main_activity,location,products,region,detail_url
شركة مصنع الدهلوي للنظارات المحدودة,6360505,,,,,,Makkah Region,https://companysa.net/%D8%B4%D8%B1%D9%83%D8%A9-%D9%85%D8%B5%D9%86%D8%B9-%D8%A7%D9%84%D8%AF%D9%87%D9%84%D9%88%D9%8A-%D9%84%D9%84%D9%86%D8%B8%D8%A7%D8%B1%D8%A7%D8%AA-%D8%A7%D9%84%D9%85%D8%AD%D8%AF%D9%88%D8%AF%D8%A9/
مصنع شركة عالم التدوير الابداعي المحدودة,0122893703,,,,,,Makkah Region,https://companysa.net/%D9%85%D8%B5%D9%86%D8%B9-%D8%B4%D8%B1%D9%83%D8%A9-%D8%B9%D8%A7%D9%84%D9%85-%D8%A7%D9%84%D8%AA%D8%AF%D9%88%D9%8A%D8%B1-%D8%A7%D9%84%D8%A7%D8%A8%D8%AF%D8%A7%D8%B9%D9%8A-%D8%A7%D9%84%D9%85%D8%AD%D8%AF%D9/
مصنع شركة اعمار ايان الصناعية,,,,,,,Makkah Region,https://companysa.net/%D9%85%D8%B5%D9%86%D8%B9-%D8%B4%D8%B1%D9%83%D8%A9-%D8%A7%D8%B9%D9%85%D8%A7%D8%B1-%D8%A7%D9%8A%D8%A7%D9%86-%D8%A7%D9%84%D8%B5%D9%86%D8%A7%D8%B9%D9%8A%D8%A9/
شركة مصنع بيت العينات للمفروشات والأثاث المحدودة,0126991555,,,,,,Makkah Region,https://companysa.net/%D8%B4%D8%B1%D9%83%D8%A9-%D9%85%D8%B5%D9%86%D8%B9-%D8%A8%D9%8A%D8%AA-%D8%A7%D9%84%D8%B9%D9%8A%D9%86%D8%A7%D8%AA-%D9%84%D9%84%D9%85%D9%81%D8%B1%D9%88%D8%B4%D8%A7%D8%AA-%D9%88%D8%A7%D9%84%D8%A3%D8%AB%D8/
شركة العنصر المشع للمواد الدوائية,,,,,,,Makkah Region,https://companysa.net/%D8%B4%D8%B1%D9%83%D8%A9-%D8%A7%D9%84%D8%B9%D9%86%D8%B5%D8%B1-%D8%A7%D9%84%D9%85%D8%B4%D8%B9-%D9%84%D9%84%D9%85%D9%88%D8%A7%D8%AF-%D8%A7%D9%84%D8%AF%D9%88%D8%A7%D8%A6%D9%8A%D8%A9/
مصنع نبع الطائف لتعبئة المياه,0127443957,,,,,,Makkah Region,https://companysa.net/%D9%85%D8%B5%D9%86%D8%B9-%D9%86%D8%A8%D8%B9-%D8%A7%D9%84%D8%B7%D8%A7%D8%A6%D9%81-%D9%84%D8%AA%D8%B9%D8%A8%D8%A6%D8%A9-%D8%A7%D9%84%D9%85%D9%8A%D8%A7%D9%87/
شركة ماهر منصور دفتردار لصناعة المواد الاعلانية شركة شخص واحد,026094532,,,,,,Makkah Region,https://companysa.net/%D8%B4%D8%B1%D9%83%D8%A9-%D9%85%D8%A7%D9%87%D8%B1-%D9%85%D9%86%D8%B5%D9%88%D8%B1-%D8%AF%D9%81%D8%AA%D8%B1%D8%AF%D8%A7%D8%B1-%D9%84%D8%B5%D9%86%D8%A7%D8%B9%D8%A9-%D8%A7%D9%84%D9%85%D9%88%D8%A7%D8%AF/
شركة الصفيح السعودية,0126363733,,,,,,Makkah Region,https://companysa.net/%d8%b4%d8%b1%d9%83%d8%a9-%d8%a7%d9%84%d8%b5%d9%81%d9%8a%d8%ad-%d8%a7%d9%84%d8%b3%d8%b9%d9%88%d8%af%d9%8a%d8%a9/
مصنع الخط الذهبي للصناعة,6081414,,,,,,Makkah Region,https://companysa.net/%D9%85%D8%B5%D9%86%D8%B9-%D8%A7%D9%84%D8%AE%D8%B7-%D8%A7%D9%84%D8%B0%D9%87%D8%A8%D9%8A-%D9%84%D9%84%D8%B5%D9%86%D8%A7%D8%B9%D8%A9/
الشركة الكورية الدولية للابر الطبية المحدودة,0569151728,,,,,,Makkah Region,https://companysa.net/%D8%A7%D9%84%D8%B4%D8%B1%D9%83%D8%A9-%D8%A7%D9%84%D9%83%D9%88%D8%B1%D9%8A%D8%A9-%D8%A7%D9%84%D8%AF%D9%88%D9%84%D9%8A%D8%A9-%D9%84%D9%84%D8%A7%D8%A8%D8%B1-%D8%A7%D9%84%D8%B7%D8%A8%D9%8A%D8%A9-%D8%A7%D9/
مصنع فقيه لأعلاف الدواجن,4936553,,,,,,Makkah Region,https://companysa.net/%D9%85%D8%B5%D9%86%D8%B9-%D9%81%D9%82%D9%8A%D9%87-%D9%84%D8%A3%D8%B9%D9%84%D8%A7%D9%81-%D8%A7%D9%84%D8%AF%D9%88%D8%A7%D8%AC%D9%86/
مصنع مياة غيمة للصناعة,2899888,,,,,,Makkah Region,https://companysa.net/%D9%85%D8%B5%D9%86%D8%B9-%D9%85%D9%8A%D8%A7%D8%A9-%D8%BA%D9%8A%D9%85%D8%A9-%D9%84%D9%84%D8%B5%D9%86%D8%A7%D8%B9%D8%A9/
