name,email,phone,detail_url
Oishii Sushi,Info@oishiisushi.sa,+966566229310,https://www.eyeofriyadh.com/directory/details/9926_oishii-sushi
Capital Market Authority,info@cma.org.sa,8002451111,https://www.eyeofriyadh.com/directory/details/3_capital-market-authority
Ministry of Investment,InvestorCare@misa.gov.sa,8002449990,https://www.eyeofriyadh.com/directory/details/25_ministry-of-investment
Ministry of Economy and Planning,ministry@planning.gov.sa,+966 11 4011444      ,https://www.eyeofriyadh.com/directory/details/43_ministry-of-economy-and-planning
Ministry of Human Resource and Social Development,info@hrsd.gov.sa,19911,https://www.eyeofriyadh.com/directory/details/51_ministry-of-human-resource-and-social-development
Ministry Of Justice,info@moj.gov.sa,9200 01950,https://www.eyeofriyadh.com/directory/details/52_ministry-of-justice
Riyadh Municipality,info@alriyadh.gov.sa,920003218,https://www.eyeofriyadh.com/directory/details/88_riyadh-municipality
Al Yamamah University,info@yu.edu.sa,920003998,https://www.eyeofriyadh.com/directory/details/314_al-yamamah-university
AL Rajhi Steel,info@rajhisteel.com,920011222,https://www.eyeofriyadh.com/directory/details/1560_al-rajhi-steel
The Ministry of Municipalities and Housing,infocs@momrah.gov.sa,940,https://www.eyeofriyadh.com/directory/details/2949_the-ministry-of-municipalities-and-housing
Saudi Authority for Accredited Valuers (TAQEEM),pr@taqeem.gov.sa,+966 11 273 7777,https://www.eyeofriyadh.com/directory/details/4836_saudi-authority-for-accredited-valuers-taqeem
Small and Medium Enterprises General Authority,Info@monshaat.gov.sa,920018888,https://www.eyeofriyadh.com/directory/details/5094_small-and-medium-enterprises-general-authority
LinkedIn,,,https://www.eyeofriyadh.com/directory/details/5184_linkedin
Ejar Program,info@ejar.sa,920005226,https://www.eyeofriyadh.com/directory/details/5446_ejar-program
Transport General Authority,info@tga.gov.sa,920014914,https://www.eyeofriyadh.com/directory/details/5761_transport-general-authority
Saudi Real Estate Institutes,info@srei.sa,920020035,https://www.eyeofriyadh.com/directory/details/5774_saudi-real-estate-institutes
The Saudi Real Estate Refinance Company (SRC),Info@srco.com.sa,+966 11 802 9400,https://www.eyeofriyadh.com/directory/details/6834_the-saudi-real-estate-refinance-company-src
Alchemy Specialty Coffee Rosters,info@alchemyksa.com,+966501810888,https://www.eyeofriyadh.com/directory/details/6935_alchemy-specialty-coffee-rosters
Real Estate General Authority,info@rega.gov.sa,199011,https://www.eyeofriyadh.com/directory/details/7213_real-estate-general-authority
AD Diriyah Gate Development Authority,info@dgda.gov.sa,920002622,https://www.eyeofriyadh.com/directory/details/7672_ad-diriyah-gate-development-authority
Saudi Contractors Authority,info@sca.sa,920000968,https://www.eyeofriyadh.com/directory/details/7673_saudi-contractors-authority
Alan,support@alan.sa,+966114774111,https://www.eyeofriyadh.com/directory/details/8499_alan
Prepositional Events Industry Associations,info@peiaksa.org,+966546146150,https://www.eyeofriyadh.com/directory/details/9660_prepositional-events-industry-associations
State Property General Authority,CS@SPGA.GOV.SA,920022447,https://www.eyeofriyadh.com/directory/details/9870_state-property-general-authority
add,hello@addenterprise.com,011 465 5053,https://www.eyeofriyadh.com/directory/details/9987_add
Chartered Institute of Procurement & Supply (CIPS),,,https://www.eyeofriyadh.com/directory/details/10125_chartered-institute-of-procurement-supply-cips
woosh,info@woosh-ksa.com,966564477240,https://www.eyeofriyadh.com/directory/details/10245_woosh
