company_name,phone_number,city,category,subcategory,description,detail_url
samadrasat,966-555-006347,Riaydh,"advertising,marketing",Advertising Companies,"Sama Dirasat is a platform specialized in feasibility and business studies, founded by a group of experts in feasibility studies for projects and entrepreneurship.",https://www.findsaudi.com/en/CatView/399/28827/samadrasat.aspx
Clickalt Global,966-54-306 8920,Riaydh,"advertising,marketing",Advertising Companies,"We provides expert advice, guidance, and solutions to businesses seeking assistance with their software-related needs. Strategic Planning and Consulting:Assessing the client's current software infrast...",https://www.findsaudi.com/en/CatView/399/28710/Clickalt_Global.aspx
Uxsquare,966-754-5786754,Riyadh Governorates,"advertising,marketing",Advertising Companies,"We're a Global UI/UX Design and Growth Acceleration Agency, with expertise in user research, user experience design, brand transformation, performance marketing, and creative technology that drives bu...",https://www.findsaudi.com/en/CatView/399/28770/Uxsquare.aspx
BizCast Media,966-56-2088143,Riaydh,"advertising,marketing",Advertising Companies,Our team of experts will help you create a strong brand identity.,https://www.findsaudi.com/en/CatView/399/28584/BizCast_Media.aspx
Perpetual Agency,966-61-920022061,Riaydh,"advertising,marketing",Advertising Companies,"As a Saudi team, we continued our journey to the Kingdom of generosity and growth, Saudi Arabia, under one umbrella called “^Perpetual Agency” We help startups become well-known brands by designing an...",https://www.findsaudi.com/en/CatView/399/28437/Perpetual_Agency.aspx
SEO Shark,966-553-993748,Riaydh,"advertising,marketing",Advertising Companies,"SEO Shark is the best SEO Company in Saudi Arabia. We provide a comprehensive menu of services, including On-page SEO, Off-Page SEO, and, Technical SEO If you want to take advantage of  organic traffi...",https://www.findsaudi.com/en/CatView/399/28473/SEO_Shark.aspx
kontrol agency,966-9-0550199900,Ahsa,"advertising,marketing",Advertising Companies,"Creating a new glory
A unique vision in the world of advertising, with a creative, professional touch that suits your needs",https://www.findsaudi.com/en/CatView/399/28163/kontrol_agency.aspx
kontrol agency,966-55-0199900,Hafouf,"advertising,marketing",Advertising Companies,"""وكالة اعلانية متخصصة فى الخدمات التنفيذية والتسويقية ، تنفيذ وتصميم اللوحات والواجهات الكلادينج وتصميم الهوية البصرية وانشاء الفيديوهات الاعلانية والموشن جرافيكس وخدمات تصوير المنتجات والتصوير الجوي ...",https://www.findsaudi.com/en/CatView/399/28299/kontrol_agency.aspx
TORJOMAN,966-55-1378417,Al Khobar,"advertising,marketing",Advertising Companies,"Digital Marketing and Media Solutions
Web Design
Branding
Graphic Designs
Media Production
Content Writing",https://www.findsaudi.com/en/CatView/399/28283/TORJOMAN.aspx
Four Lines International,966-12-6728989,Jadda,"advertising,marketing",Advertising Companies,Four Lines is a modern and dynamic advertising solutions company that provides innovative and comprehensive marketing services. Our focus is on helping businesses achieve their marketing goals by offe...,https://www.findsaudi.com/en/CatView/399/28087/Four_Lines_International.aspx
Inssain,966-11-2075923,Riaydh,"advertising,marketing",Advertising Companies,"We are simply a creative utopia, an ecosystem of creative madness, people, tools and services that connect over 100,000 creative minds around the world with access to over 90Billion state of the art c...",https://www.findsaudi.com/en/CatView/399/28119/Inssain.aspx
JSA Marketing Solution.,966-59-6846208,Jadda,"advertising,marketing",Advertising Companies,Social Media Marketing & Management,https://www.findsaudi.com/en/CatView/399/28032/JSA_Marketing_Solution_.aspx
Arabian Daem for IT Services,966-56-8203503,Riaydh,"advertising,marketing",Advertising Companies,"Daempro is here to assist your business with a wide variety of services. With partnerships with SAP and ODOO, integrate your business with the latest technology and management software for increased e...",https://www.findsaudi.com/en/CatView/399/27984/Arabian_Daem_for_IT_Services.aspx
Arts2Art,966-12-6541919,Jadda,"advertising,marketing",Advertising Companies,"Arts2Art is a one-stop media solution agency, that its core is to give high effect media consultation that can be executed within the budget in hand.",https://www.findsaudi.com/en/CatView/399/27946/Arts2Art.aspx
Marks Business Services,966-5-07800439,Riaydh,"advertising,marketing",Advertising Companies,A leading Saudi firm specialized in providing business services for both the public and private sectors. Our team of highly skilled and specialized expertise can meet the challenges and emerging trend...,https://www.findsaudi.com/en/CatView/399/27969/Marks_Business_Services.aspx
East Direction,966-58-022 3255,Riaydh,"advertising,marketing",Advertising Companies,"An integrated and sustainable business solutions and digital marketing company in the Kingdom of Saudi Arabia, covering business solutions for all types of businesses through a specialized team, to fi...",https://www.findsaudi.com/en/CatView/399/27890/East_Direction.aspx
Saqtec,966-11-8981097,Al Khobar,"advertising,marketing",Advertising Companies,"Providing strategic digital marketing solutions to small, mid-size and larger scale businesses by building them a robust online presence that converts visitors into loyal customers.

We are passiona...",https://www.findsaudi.com/en/CatView/399/27906/Saqtec.aspx
BIMA For Advertising,966-53-2527722,Riaydh,"advertising,marketing",Advertising Companies,BrandInMark is a Saudi Arabia-based marketing agency. BIMA builds brands and creates strategies to boost businesses and allow them to thrive in a competitive environment. We focus on our clients’ mark...,https://www.findsaudi.com/en/CatView/399/27862/BIMA_For_Advertising.aspx
Media and more for marketing,966-55-7220024,Riaydh,"advertising,marketing",Advertising Companies,"A huge range of marketing services provided to you by a media organization and more for marketing, including design services, advertising campaigns on all platforms, managing stores and websites, opti...",https://www.findsaudi.com/en/CatView/399/27791/Media_and_more_for_marketing.aspx
Upper Medic,966-55-284 8032,Al Bahah,"advertising,marketing",Advertising Companies,"Upper Medic is a marketing company specialized in digital marketing for health care providers,
we expert in providing trusted digital marketing methods to build, manage and protect our clients’
onli...",https://www.findsaudi.com/en/CatView/399/27704/Upper_Medic.aspx
Goaraby,966-72-971501914720,Riaydh,"advertising,marketing",Advertising Companies,"Go Araby is one of the leading digital marketing agencies in the middle east. We are offering a full package of digital marketing services. We are experts in SEO, PPC, social media marketing, lead gen...",https://www.findsaudi.com/en/CatView/399/27658/Goaraby.aspx
Taka Digital Marketing,966-5-9270092,Riaydh,"advertising,marketing",Advertising Companies,"We Are Local Independent Creative & Digital Agency Established in 2021. We deliver results and make brands shine through our passion for creativity, dedication and commitment to innovation. our digita...",https://www.findsaudi.com/en/CatView/399/27379/Taka_Digital_Marketing.aspx
Abdullah Saleh,966-57-0142468,Jadda,"advertising,marketing",Advertising Companies,"Zina Corporation provides the best e-marketing company in the UAE and Saudi Arabia, and all e-marketing services are considered the best marketing company in the UAE and the Arab world.",https://www.findsaudi.com/en/CatView/399/27546/Abdullah_Saleh.aspx
TATABOU DIGITAL MARKETING,966-5-982062,Riaydh,"advertising,marketing",Advertising Companies,MARKETING AGENCY -MEDIA BYER DIGITAL MARKETING & DOOH IN K.S.A,https://www.findsaudi.com/en/CatView/399/27630/TATABOU_DIGITAL_MARKETING.aspx
Merkai,966-11-2061547,Riaydh,"advertising,marketing",Advertising Companies,"Digital Marketing, Accounts management, Campaigns, Professional website designing, and much more...

Commited to turn your ideas into a true success",https://www.findsaudi.com/en/CatView/399/27559/Merkai.aspx
SmartPoints,966-11-4741704,Riaydh,"advertising,marketing",Advertising Companies,"Digital signage 
sign board 
sticker for cars
acrylic fabrication",https://www.findsaudi.com/en/CatView/399/27133/SmartPoints.aspx
Mediagcc,966-9-6076334,Riaydh,"advertising,marketing",Advertising Companies,"We help you to increase the activity of social media pages by helping our clients to increase followers, likes and comments for all social media platforms such as Facebook, Instagram, Tik Tok, YouTube...",https://www.findsaudi.com/en/CatView/399/27071/Mediagcc.aspx
SPEEDFORCE DIGITAL,966-59-7771089,Jadda,"advertising,marketing",Advertising Companies,"From day one,SPEEDFORCE’s mission has been to create websites and digital solutions that help grow businesses online. 

Inspired by innovation and driven to make our clients better, we turn digital ...",https://www.findsaudi.com/en/CatView/399/27061/SPEEDFORCE_DIGITAL.aspx
said information technology,966-11-506640002,Jadda,"advertising,marketing",Advertising Companies,"Be Digital Be Visible with said information technology

We love what we do and we do what our clients love & work with great clients all over the world to create responsive, wonderful and purposeful...",https://www.findsaudi.com/en/CatView/399/27058/said_information_technology.aspx
ektefa,966-92-0010047,Riaydh,"advertising,marketing",Advertising Companies,ektefa net,https://www.findsaudi.com/en/CatView/399/27038/ektefa.aspx
openbazzars,966-646-592620850,Riaydh,"advertising,marketing",Advertising Companies,OpenBazzars Post Your Free Jobs in Saudi Arabia & All Gulf countries I Sale Your Used Cars Mobiles Loptope & Sale your All old Itimes in Your Countries jeddah Riyadh Dammam Looking to buy a used car O...,https://www.findsaudi.com/en/CatView/399/26945/openbazzars.aspx
ALJOURI,966-11-4555656,Riaydh,"advertising,marketing",Advertising Companies,aljuri lildieayat walaeilan ... kurut ..fwatir..brushurat ... luhati..astikr..bnar. faliks..wghiruha min alhadaya aldieayiyat mae khidmat altasmim waltibaeat walshahn kulih likuli almamlaka,https://www.findsaudi.com/en/CatView/399/26931/ALJOURI.aspx
Creation,966-92-0011915,Riaydh,"advertising,marketing",Advertising Companies,We are a marketing and advertising agency specialized in creating personalized strategies for lifestyle brands. We believe in combining creativity and strategy to create unique projects. Our experienc...,https://www.findsaudi.com/en/CatView/399/26913/Creation.aspx
